Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DOT-USD,DOT-USD,DOT-USD,DOT-USD,DOT-USD,DOT-USD
Date,,,,,,
2025-05-16,4.754538059234619,4.754538059234619,4.946407794952393,4.726859092712402,4.768418788909912,193560066
2025-05-17,4.610406875610352,4.610406875610352,4.761284828186035,4.562997817993164,4.754512786865234,171955589
2025-05-18,4.804838180541992,4.804838180541992,4.917015075683594,4.547843933105469,4.610443115234375,199139782
2025-05-19,4.596532821655273,4.596532821655273,4.808948040008545,4.420077800750732,4.804838180541992,229348803
2025-05-20,4.675634860992432,4.675634860992432,4.725056171417236,4.526021957397461,4.596546173095703,186585691
2025-05-21,4.744808197021484,4.744808197021484,4.868981838226318,4.628596782684326,4.675609111785889,268392873
2025-05-22,4.946420192718506,4.946420192718506,4.971556186676025,4.7413458824157715,4.744823932647705,233591006
2025-05-23,4.554623126983643,4.554623126983643,5.1143879890441895,4.542837142944336,4.946420192718506,369140174
2025-05-24,4.547797203063965,4.547797203063965,4.631708145141602,4.517449855804443,4.554869174957275,153380008
2025-05-25,4.525113105773926,4.525113105773926,4.559806823730469,4.363696098327637,4.547797203063965,178319052
2025-05-26,4.46865177154541,4.46865177154541,4.6127848625183105,4.4346442222595215,4.525117874145508,179248901
2025-05-27,4.5374369621276855,4.5374369621276855,4.613452911376953,4.383840084075928,4.4686689376831055,184485978
2025-05-28,4.5749831199646,4.5749831199646,4.658393859863281,4.422947883605957,4.537511825561523,194435295
2025-05-29,4.34134578704834,4.34134578704834,4.6768951416015625,4.341073036193848,4.575018882751465,214789670
2025-05-30,4.048573970794678,4.048573970794678,4.353537082672119,4.036497116088867,4.341247081756592,310465863
2025-05-31,4.081821918487549,4.081821918487549,4.1186017990112305,3.9125280380249023,4.048605918884277,200872762
2025-06-01,4.064271926879883,4.064271926879883,4.096866130828857,3.9858999252319336,4.081748962402344,126721689
2025-06-02,4.145421981811523,4.145421981811523,4.165862083435059,3.9595439434051514,4.064271926879883,159635335
2025-06-03,4.141016006469727,4.141016006469727,4.219786167144775,4.115155220031738,4.145698070526123,171359663
2025-06-04,4.0176100730896,4.0176100730896,4.2119269371032715,3.9942150115966797,4.140982151031494,179838859
2025-06-05,3.8261899948120117,3.8261899948120117,4.073861122131348,3.7548110485076904,4.0176100730896,233117439
2025-06-06,3.8906478881835938,3.8906478881835938,3.9886279106140137,3.8192451000213623,3.8261919021606445,157282081
2025-06-07,4.028441905975342,4.028441905975342,4.05794095993042,3.8764901161193848,3.8906819820404053,105780334
2025-06-08,4.024810791015625,4.024810791015625,4.112636089324951,3.989717960357666,4.028639793395996,121303803
2025-06-09,4.157787799835205,4.157787799835205,4.159237861633301,3.9694418907165527,4.024846076965332,197241492
